id,popularity,original_title,cast,director,tagline,keywords,overview,genres,release_year
11362,0.414805,The Count of Monte Cristo,Jim Caviezel|Guy Pearce|Richard Harris|James Frain|Dagmara DomiÅ„czyk,Kevin Reynolds,Prepare for adventure. Count on revenge.,loss of lover|lover (female)|ex-lover|torture|napoleon bonaparte,"Edmond DantÃ©s's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, DantÃ©s escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",Action|Adventure|Drama|Thriller,2002
11022,0.400097,Narc,Jason Patric|Ray Liotta|Chi McBride|Busta Rhymes|Lloyd Adams,Joe Carnahan,,assertion|investigation|internal affairs|narcotics cop,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead.",Action|Crime|Drama|Thriller,2002
18221,0.398388,Space Station 3D,Tom Cruise|James Arnold|Michael J. Bloomfield|Robert D. Cabana|Leroy Chiao,Toni Myers,A Select Few Have Been Aboard... Now It's Your Turn!,nasa|space|independent film|astronaut|space station,"Some 220 miles above Earth lies the International Space Station, a one-of-a-kind outer space laboratory that 16 nations came together to build. Get a behind-the-scenes look at the making of this extraordinary structure in this spectacular IMAX film. Viewers will blast off from Florida's Kennedy Space Center and the Baikonur Cosmodrome in Russia for this incredible journey -- IMAX's first-ever space film. Tom Cruise narrates.",Documentary,2002
11535,0.391625,Rollerball,Chris Klein|LL Cool J|Rebecca Romijn|Naveen Andrews|Jean Reno,John McTiernan,Go Ballistic,manager|arena|dystopia|wrestling|sport,"From the director of Die Hard comes this high-octane thriller that roars along at a breakneck pace (Los Angeles Times)! Starring Chris Klein (American Pie), Jean Reno (Ronin), LL Cool J (Charlie's Angels) and Rebecca Romijn-Stamos (X-Men), Rollerball goes full-throttle with excitement from its death-defying opening until its explosive end! Jonathan Cross (Klein) is the newest recruit in the most extreme sport of all time where his fast moves and killer looks make him an instant superstar. But Cross life in the fast lane collides with reality when he learns that the league's owner (Reno) is orchestrating serious on-court accidents to boost ratings. Now Cross plans to take down the owner and his ruthless sport before the game puts an end to him!",Action|Science Fiction|Thriller,2002
16028,0.381369,They,Laura Regan|Marc Blucas|Ethan Embry|Dagmara DomiÅ„czyk|Jon Abrahams,Robert Harmon,Are you afraid of the dark? You should be.,suicide|asylum|nightmare|darkness|supernatural,"After witnessing a horrific and traumatic event, Julia Lund, a graduate student in psychology, gradually comes to the realization that everything which scared her as a child could be real. And what's worse, it might be coming back to get her..",Horror|Thriller,2002
8460,0.378343,The Skulls II,Robin Dunne|Nathan West|Ashley Tesoro|Lindy Booth|James Gallanders,Joe Chappelle,,secret|coffin|literature|brotherhood|connecticut,"After joining the Skulls, Ryan Sommers (Robin Dunne) is warned not to betray any secrets about the organization or its high-powered members. However, when Ryan witnesses a murder within the Skulls' private chambers, he finds that the closer he gets to revealing the truth - the more dangerous life becomes.",Action|Comedy|Thriller|Romance,2002
12454,0.376186,All or Nothing,James Corden|Timothy Spall|Ruth Sheen|Lesley Manville|Sally Hawkins,Mike Leigh,,,"Penny's love for her partner, taxi-driver Phil, has run dry. He is a gentle, philosophical guy, and she works on the checkout at a supermarket...",Comedy|Drama,2002
17963,0.375427,Gone Nutty,Chris Wedge,Carlos Saldanha,,,Scrat tries to finish his rather large collection of acorns when things start going nutty.,Animation|Comedy,2002
37964,0.373221,Brown Sugar,Sanaa Lathan|Taye Diggs|Mos Def|Queen Latifah|Nicole Ari Parker,Rick Famuyiwa,When did you first fall in love with hip-hop?,,"Sidney is a writer who's just left her L.A. Times music review gig to edit New York hip-hop magazine XXL. Dre is an executive with a hip-hop record company based in New York. They've known each other since they met as children, when both discovered hip-hop for the first time. Now that they're back together, they should be perfect for each other, except that Dre's about to marry lawyer Reese and Sidney claims not to be interested in Dre romantically. Meanwhile, Dre is growing increasingly restless with his company's focus on profit over artistry, which leads to signing the gimmicky duo Ren and Ten while ignoring the talented Chris",Comedy|Romance,2002
28004,0.37151,Madea's Family Reunion,Tyler Perry|Blair Underwood|Lynn Whitfield|Boris Kodjoe|Lisa Arrindell,Tyler Perry,,,"Just as the southern matriarch, Madea buries her older sister, Irene. (There is no mention of Helen and Charles Jr. at all during the play). Her granddaughter Lisa is getting married to a very successful rich man name Ronnie at the house, but Lisaâ€™s fiance is secretly beating her, and Lisaâ€™s ex-boyfriend and first love, A.J., and Madeaâ€™s mechanic, is going to do something about it.",Comedy,2002
